corpus	text_source	tokenizer_id	order	vocab_size	train_docs	eval_docs	train_tokens	eval_tokens	eval_bytes	bits	bpb	bits_per_token	tokens_per_byte	oov_token_rate	roundtrip_ok	ngram_types
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	bpe	1	34684	7246	1708	5869400	1159361	5203718	14231105.038947217	2.7347955901813314	12.256898633024582	0.22279474022227952	0.00015957066004462802	True	1:32240
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	bpe	3	34684	7246	1708	5869400	1159361	5203718	10170458.358932171	1.9544599378621537	8.759564124898839	0.22279474022227952	0.00015957066004462802	True	1:32241,2:2015032,3:4196834
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	bpe	5	34684	7246	1708	5869400	1159361	5203718	10083751.483905142	1.9377974524955315	8.684885638928558	0.22279474022227952	0.00015957066004462802	True	1:32241,2:2015032,3:4196835,4:5080581,5:5383614
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	unigram	1	34684	7246	1708	5760588	1139874	5203718	13418092.442382477	2.5785587232787166	11.753945351610728	0.21904991777033267	0.0001403663913730816	True	1:32248
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	unigram	3	34684	7246	1708	5760588	1139874	5203718	10047118.091735842	1.9307576028785267	8.801048099686087	0.21904991777033267	0.0001403663913730816	True	1:32249,2:1877378,3:4055209
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	unigram	5	34684	7246	1708	5760588	1139874	5203718	9947899.738268608	1.911690783064841	8.714135067186245	0.21904991777033267	0.0001403663913730816	True	1:32249,2:1877378,3:4055210,4:4976905,5:5287934
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	fsp	1	34684	7246	1708	5668585	1121607	5203718	13538908.77941525	2.601776033869485	12.052637754695033	0.21553954307285675	0.00012571248217958697	True	1:32504
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	fsp	3	34684	7246	1708	5668585	1121607	5203718	10063254.557762679	1.9338585522433533	8.95853305418576	0.21553954307285675	0.00012571248217958697	True	1:32505,2:1986684,3:4080914
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	fsp	5	34684	7246	1708	5668585	1121607	5203718	9977837.293864746	1.917443891822106	8.882492705843637	0.21553954307285675	0.00012571248217958697	True	1:32505,2:1986684,3:4080915,4:4924890,5:5212676
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	bpe_init_f1.15	1	34684	7246	1708	5680903	1123472	5203718	13666510.742562963	2.626297340202325	12.14606617835632	0.21589794066473242	0.00015487702408248716	True	1:32335
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	bpe_init_f1.15	3	34684	7246	1708	5680903	1123472	5203718	10089631.323750962	1.93892738302709	8.967126436437692	0.21589794066473242	0.00015487702408248716	True	1:32336,2:2011653,3:4117852
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	bpe_init_f1.15	5	34684	7246	1708	5680903	1123472	5203718	10005533.431829609	1.9227662667019252	8.892384713405507	0.21589794066473242	0.00015487702408248716	True	1:32336,2:2011653,3:4117853,4:4950790,5:5228313
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	fsp_bpe_init_f1.15	1	34684	7246	1708	5683852	1123917	5203718	13672337.968401767	2.6274171598848683	12.146441282311399	0.21598345644402714	0.0001557054480001637	True	1:32313
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	fsp_bpe_init_f1.15	3	34684	7246	1708	5683852	1123917	5203718	10090004.126122992	1.9389990245672406	8.96391260510649	0.21598345644402714	0.0001557054480001637	True	1:32314,2:2011321,3:4118925
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	fsp_bpe_init_f1.15	5	34684	7246	1708	5683852	1123917	5203718	10006064.289519615	1.9228682817784544	8.889340845769786	0.21598345644402714	0.0001557054480001637	True	1:32314,2:2011321,3:4118926,4:4952486,5:5230341
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	mingram_f1.15	1	34684	7246	1708	5668484	1120890	5203718	13680240.01999724	2.6289356994359108	12.186232311118708	0.21540175697453243	0.0001561259356404286	True	1:32352
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	mingram_f1.15	3	34684	7246	1708	5668484	1120890	5203718	10092091.452515578	1.9394001466865765	8.9899424838772	0.21540175697453243	0.0001561259356404286	True	1:32353,2:2024189,3:4121375
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	mingram_f1.15	5	34684	7246	1708	5668484	1120890	5203718	10010170.180527367	1.9236573120463805	8.916967766312935	0.21540175697453243	0.0001561259356404286	True	1:32353,2:2024189,3:4121376,4:4945856,5:5219756
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	convextok	1	34684	7246	1708	5708409	1128028	5203718	13744042.699102549	2.6411966788174435	12.16571190003908	0.21677346850847798	0.00019946313389383952	True	1:31283
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	convextok	3	34684	7246	1708	5708409	1128028	5203718	10108272.620537229	1.9425096864467346	8.947464381534473	0.21677346850847798	0.00019946313389383952	True	1:31284,2:2035039,3:4130548
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	convextok	5	34684	7246	1708	5708409	1128028	5203718	10022038.923187917	1.925938131771921	8.871133541984957	0.21677346850847798	0.00019946313389383952	True	1:31284,2:2035039,3:4130549,4:4958251,5:5242829
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	pathpiece_pb0.2	1	34684	7246	1708	5604694	1109302	5203718	13689601.314297488	2.630734662081513	12.321762463251895	0.21317488764763964	0.00017578621511545097	True	1:31858
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	pathpiece_pb0.2	3	34684	7246	1708	5604694	1109302	5203718	10130260.980382618	1.9467351959469397	9.118064626225342	0.21317488764763964	0.00017578621511545097	True	1:31859,2:2097189,3:4129920
fineweb_fi_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/fin_Latn/train/000_00000.parquet	pathpiece_pb0.2	5	34684	7246	1708	5604694	1109302	5203718	10054514.28899208	1.932178932254223	9.04988639975525	0.21317488764763964	0.00017578621511545097	True	1:31859,2:2097189,3:4129921,4:4910673,5:5171320
